Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Stripped Peptides	Total Peptide Ions	Unique Peptide Ions	Razor Peptide Ions	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
1	a	sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	16.40	Homo sapiens OX=9606	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	5	11	11	11	     0	     0	     0			sp|P0DPI2|GAL3A_HUMAN
2	a	sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	12.50	Homo sapiens OX=9606	Ubiquitin-like modifier-activating enzyme 6 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	10	10	10	10	     0	     0	     0	17C(57.0215), 2C(57.0215), 6C(57.0215), 8C(57.0215), N-term(42.0106)		
3	a	sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	17.70	Homo sapiens OX=9606	Shootin-1 	1:Experimental evidence at protein level	1.0000	0.9990	10	9	9	9	15	15	15	     0	     0	     0			
4	a	sp|A1L0T0|ILVBL_HUMAN	A1L0T0	ILVBL_HUMAN	ILVBL	632	4.30	Homo sapiens OX=9606	Acetolactate synthase-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	4	4	4	5	5	5	     0	     0	     0	10C(57.0215), 15M(15.9949), 9C(57.0215)		
5	a	sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	1.70	Homo sapiens OX=9606	von Willebrand factor A domain-containing protein 8 	1:Experimental evidence at protein level	1.0000	0.9982	3	3	3	3	4	4	4	     0	     0	     0	6C(57.0215)		
6	a	sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	6.60	Homo sapiens OX=9606	CCR4-NOT transcription complex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	13	12	12	12	14	14	14	     0	     0	     0	6C(57.0215), 8C(57.0215), 9C(57.0215)		
7	a	sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	29.00	Homo sapiens OX=9606	Glycerol-3-phosphate phosphatase 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	8	14	14	14	     0	     0	     0	11C(57.0215), 7C(57.0215), N-term(42.0106)		
8	a	sp|A6NDU8|CE051_HUMAN	A6NDU8	CE051_HUMAN	C5orf51	294	16.70	Homo sapiens OX=9606	UPF0600 protein C5orf51 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	2	2	2	2	2	     0	     0	     0	21C(57.0215), 2C(57.0215)		
9	a	sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	6.30	Homo sapiens OX=9606	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	10	10	10	10	     0	     0	     0	17C(57.0215), 2C(57.0215), 4C(57.0215), N-term(42.0106)		
10	a	sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	18.40	Homo sapiens OX=9606	Putative small nuclear ribonucleoprotein G-like protein 15 	5:Protein uncertain	1.0000	0.9990	2	2	2	2	9	9	9	     0	     0	     0			sp|P62308|RUXG_HUMAN
