Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Stripped Peptides	Total Peptide Ions	Unique Peptide Ions	Razor Peptide Ions	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
1	a	sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	GAL3B_HUMAN	GATD3B	268	36.20	Homo sapiens OX=9606	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	7	7	7	7	7	7	     0	     0	     0	9C(57.0215)		sp|P0DPI2|GAL3A_HUMAN
2	a	sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	29.10	Homo sapiens OX=9606	Ubiquitin-like modifier-activating enzyme 6 	1:Experimental evidence at protein level	1.0000	0.9990	18	19	19	19	24	24	24	     0	     0	     0	11C(57.0215), 16C(57.0215), 17C(57.0215), 1C(57.0215), 28C(57.0215), 2C(57.0215), 3C(57.0215), 6C(57.0215), N-term(42.0106)		
3	a	sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	5.20	Homo sapiens OX=9606	Shootin-1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0			
4	a	sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	9.60	Homo sapiens OX=9606	CCR4-NOT transcription complex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	14	13	13	13	16	16	16	     0	     0	     0			
5	a	sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	24.90	Homo sapiens OX=9606	Glycerol-3-phosphate phosphatase 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	4	4	4	4	4	     0	     0	     0	11C(57.0215), 5C(57.0215), 7C(57.0215)		
6	a	sp|A6NDU8|CE051_HUMAN	A6NDU8	CE051_HUMAN	C5orf51	294	14.60	Homo sapiens OX=9606	UPF0600 protein C5orf51 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2	     0	     0	     0			
7	a	sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	10.70	Homo sapiens OX=9606	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	12	13	13	13	16	16	16	     0	     0	     0	10C(57.0215), 14C(57.0215), 17C(57.0215), 4C(57.0215), N-term(42.0106)		
8	a	sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	33.00	Homo sapiens OX=9606	Alkyldihydroxyacetonephosphate synthase, peroxisomal 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	13	15	15	15	     0	     0	     0	10C(57.0215), 15C(57.0215), N-term(42.0106)		
9	a	sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	45.00	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX39A 	1:Experimental evidence at protein level	1.0000	0.9990	13	16	9	9	24	13	13	     0	     0	     0	1C(57.0215), 2C(57.0215), 6C(57.0215), 7C(57.0215)		
10	a	sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	58.40	Homo sapiens OX=9606	PDZ and LIM domain protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	11	13	13	13	17	17	17	     0	     0	     0	10C(57.0215), 11C(57.0215), 12C(57.0215), 4C(57.0215), 6C(57.0215), 7C(57.0215), 9C(57.0215), N-term(42.0106)		
